feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174JQQ2	condition	CRC	-0.738300905070411	0.22514880505095	66	8	0.00168616383441423	0.00350945469957337
UniRef90_A0A173YS91	condition	CRC	-0.660423324868917	0.201411492562111	66	8	0.00168715120831891	0.00351125015277549
UniRef90_A0A173VRR7	condition	CRC	-0.919615747822226	0.280475101268367	66	8	0.00168815722232977	0.0035130841309157
UniRef90_A0A139KIS7	condition	CRC	-0.793455209221261	0.242010910929964	66	8	0.00168910764647989	0.0035148021630351
UniRef90_A0A139K9G4	condition	CRC	-0.772183432616952	0.235536223023743	66	8	0.00169006159876798	0.00351652728222589
UniRef90_A0A174ZQX6	condition	CRC	-0.666492074920428	0.203351945827125	66	7	0.00169455287931921	0.00352561175512485
UniRef90_A0A173ZDL6	condition	CRC	-0.777094272750878	0.237184713428282	66	7	0.0017007442001228	0.00353823165251677
UniRef90_A0A174C6L7	condition	CRC	-0.565417967829082	0.172583053696933	66	7	0.00170134853443936	0.00353922736581222
UniRef90_A0A173YJB0	condition	CRC	-0.82575748987176	0.25205185369328	66	8	0.001701691651526	0.00353967957542191
UniRef90_A0A173T4K9	condition	CRC	-0.690708928674451	0.210873213247861	66	8	0.00170515200167914	0.0035464415187692
UniRef90_A0A173TQH6	condition	CRC	-0.61479711145717	0.187697830523493	66	8	0.0017051943875412	0.0035464415187692
UniRef90_A0A174LCQ1	condition	CRC	-0.736762736431414	0.224975981698276	66	7	0.00170835259113624	0.00355274744372219
UniRef90_A0A174VF05	condition	CRC	-0.740434550916549	0.226110149865203	66	7	0.0017093227693219	0.00355450248204683
UniRef90_A0A174HS28	condition	CRC	-1.29594223696887	0.395761974103559	66	15	0.0017099094020729	0.00355545974497056
UniRef90_A0A1E3U755	condition	CRC	-0.90067876461	0.274680420057306	66	64	0.00171138742040814	0.00355827021117651
UniRef90_A0A174UYB0	condition	CRC	-0.700525351575543	0.214002109528557	66	7	0.00171560523367544	0.00356677634875053
UniRef90_A0A174UDZ4	condition	CRC	-0.660423324868917	0.201761782880051	66	8	0.00171647817183653	0.00356832768376473
UniRef90_A0A174KKH8	condition	CRC	-0.995678886214024	0.304186809236472	66	8	0.00171665729574452	0.00356843654949419
UniRef90_A0A174CUP1	condition	CRC	-0.781577518539587	0.238785366989694	66	8	0.00171722777928373	0.00356935886314202
UniRef90_A0A173YNZ0	condition	CRC	-0.609886271323244	0.186368626584874	66	7	0.00172068819035964	0.00357602347076661
UniRef90_A0A174JQG9	condition	CRC	-0.609886271323244	0.186368626584874	66	7	0.00172068819035391	0.00357602347076661
UniRef90_A0A174G4T1	condition	CRC	-0.566063167045993	0.172993600610025	66	7	0.00172230460398216	0.00357911856583049
UniRef90_A0A174A818	condition	CRC	-0.487920646349	0.149122845323217	66	7	0.00172347648998274	0.00358128949999956
UniRef90_A0A174XW16	condition	CRC	-0.675246092700304	0.20639194691995	66	7	0.00172487845953485	0.00358393817940992
UniRef90_A0A173XWI9	condition	CRC	-0.728038527632925	0.222568688770342	66	7	0.00172798726585402	0.00359013265744077
UniRef90_A0A173TGS3	condition	CRC	-0.466159550710504	0.142544086028582	66	8	0.00173212114608942	0.00359845579696771
UniRef90_A0A174YA24	condition	CRC	-0.662937229436467	0.202734055165603	66	7	0.00173368687262712	0.00360144280092966
UniRef90_A0A174HI21	condition	CRC	-0.82575748987176	0.252536303572908	66	9	0.001734357988074	0.00360257109719318
UniRef90_A0A173YSM3	condition	CRC	-0.859407503569892	0.262830622859347	66	7	0.00173457616696384	0.00360275846631001
UniRef90_A0A173R6B6	condition	CRC	-0.981040464993914	0.300038296660751	66	8	0.00173508750780817	0.00360293463964286
UniRef90_A0A173UED5	condition	CRC	-0.741245982220124	0.226701443095657	66	8	0.00173517291291126	0.00360293463964286
UniRef90_A0A173USW4	condition	CRC	-0.491245982220124	0.150240544281545	66	7	0.00173502299348567	0.00360293463964286
UniRef90_A0A174G9G7	condition	CRC	-0.491245982220124	0.150240544281545	66	7	0.00173502299348567	0.00360293463964286
UniRef90_A0A174R9A3	condition	CRC	-0.682260278871858	0.208664273046962	66	8	0.00173541297071064	0.00360316733914344
UniRef90_A0A173TQ01	condition	CRC	-0.577497321480083	0.176649106129708	66	8	0.00173792154366231	0.00360810968268299
UniRef90_A0A174KJK9	condition	CRC	-0.842282730967123	0.257673717607251	66	8	0.00173993012798024	0.00361180766314342
UniRef90_A0A174VL48	condition	CRC	-0.676106834852194	0.206837029031161	66	8	0.00173995934667345	0.00361180766314342
UniRef90_A0A173THF8	condition	CRC	-0.815417967829082	0.249553861004441	66	8	0.00174674278967039	0.00362562139753747
UniRef90_A0A173TAH6	condition	CRC	-0.712545882677392	0.218080781697946	66	7	0.00174755898865085	0.00362704811622669
UniRef90_A0A174PHW1	condition	CRC	-1.19012700698371	0.364266281251816	66	8	0.00174839767344348	0.00362852129028977
UniRef90_A0A174XYI7	condition	CRC	-0.587254921832023	0.179751250102403	66	7	0.00174917669387446	0.00362987043240114
UniRef90_A0A139JWJ7	condition	CRC	-0.632731365541967	0.193683520432341	66	8	0.00175029260107168	0.00363191842746148
UniRef90_A0A139KIP3	condition	CRC	-0.720354464337225	0.220522208457913	66	7	0.00175159710009968	0.00363435742644503
UniRef90_A0A174Y495	condition	CRC	-0.944631452041551	0.289192949574252	66	7	0.0017523624043164	0.00363567738273382
UniRef90_A0A173TSN7	condition	CRC	-0.606331425839283	0.185664822952345	66	7	0.00175611971544034	0.00364293583590572
UniRef90_A0A174IRN1	condition	CRC	-0.606331425839283	0.185664822952345	66	7	0.00175611971542941	0.00364293583590572
UniRef90_A0A174VUN8	condition	CRC	-0.544526449946184	0.16677746704963	66	7	0.0017600674051301	0.00365085599684812
UniRef90_A0A173YPV9	condition	CRC	-0.458216964234202	0.140352819659208	66	7	0.00176133042455335	0.00365293753587932
UniRef90_A0A174LPI4	condition	CRC	-0.909628929380637	0.278619936319658	66	9	0.0017612482821929	0.00365293753587932
UniRef90_A0A139K3K7	condition	CRC	-0.73343740056029	0.224661543625619	66	7	0.00176195884192253	0.00365370251309687
UniRef90_A0A174QMJ1	condition	CRC	-1.10968460835392	0.339909950685617	66	8	0.00176190402859534	0.00365370251309687
UniRef90_A0A173V6S2	condition	CRC	-0.680156932834231	0.208343021476553	66	8	0.00176212461406438	0.00365377713302941
